sentiment,text
Contro Chiara Ferragni,A questo punto spero la multa raddoppi.
Neutrale,La vera beneficenza si fa in silenzio.
Felice,"La Ferragni è l'autrice del libro ""ogni giorno nasce un pollo, tutto sta a trovarlo""!!!"
Neutrale,"E voi applaudite quando compra l’ennesimo attico con piscina, la grande manager… Questo vi meritate."
Felice,È stato fatto in buona Fedez 😂
Neutrale,"Continuate a seguirli, mi raccomando"
Neutrale,Complimenti ai boccaloni 👏🏻👏🏻👏🏻
Contro Chiara Ferragni,Mi rivolgo a chi segue questa signora e il suo maritino che mettono in piazza o meglio sul web  la loro vita e che si pavoneggiano  di iniziative  benevole e questo è  il risultato  continuate a seguirli a farli arricchire grazie a voi complimenti
Neutrale,Certo che continuerà la beneficenza...frutta molto!
Neutrale,I’m buona fede…😂😂😂
Neutrale,In buona fede Certo!🤑🤑🤑🤑
Felice,In buona Fedez
Neutrale,MI auguro che la multa vada in beneficenza!
Neutrale,Buona fede e bella frode🤥
Felice,ogni tanto una buona notizia
Felice,Pink Fedez
Neutrale,CHE BELLA GENTE....
Neutrale,Beneficenza agli avvocati 🍾
Felice,Ci crediamo tutti!!!!!
Neutrale,La beneficenza è una cosa seria
Neutrale,😂 In buona fede...
Neutrale,"""Pensati libera"""
Felice,Eh brava 👏👏🤣🤣🤣
Neutrale,Buon Natale anche a voi
Neutrale,#santasubito
Neutrale,Ki e' costei?
Neutrale,E come direbbe Emilio Fede...
Felice,Che bella persona
Neutrale,Pamela
Neutrale,Bruno Greco
Neutrale,É un mondo difficile
Felice,In buon Fedez
Neutrale,Costa la vita e si attaccano su tutto
Neutrale,Pensati panettone
Neutrale,Simona Pea non aggiungo altro...
Neutrale,Certo. In buona fede. Per le sue tasche...
Neutrale,🤣🤣🤣🤣🤣🤣🤣🤣 certo come no
Contro Chiara Ferragni,Multa multipla merita questa smarciassa
Neutrale,Si in buona  fede🤣🤣
Neutrale,In buona Fedez😂😂😂😂😂
Neutrale,Balocco & profumi.
Neutrale,"In buona fede, amen"
Neutrale,Il mandolone balocco
Contro Chiara Ferragni,Beneficenza verso se stessa...
Neutrale,Marina Maria Banfi
Contro Chiara Ferragni,Immondizia umana...
Neutrale,Munez
Neutrale,"Tipico di questo periodo, pensare di poter fare quello che si vuole in nome della buona fede"
Neutrale,Santa subito
Neutrale,"Sì ... certo! Una "" talmente intelligente da aver creato un impero dal nulla da sola "" ( cito testualmente) fa tutto in buona fede ... ci crediamo tutti."
Neutrale,🤣🤣🤣🤣🤣
Neutrale,"Pagherà quello che dovrà pagare. Tanto comunque non è che gli manchi qualcosa. 
Ha chiesto scusa e si prenderà le sue responsabilità. Com'è giusto che sia. 
Polemizzare ad oltranza non ha senso. 
😁😁😁"
Felice,Si continuerà a fare beneficenza a SUO favore!
Neutrale,"Gli allocchi che comprano cose col suo marchio meritano di essere presi in giro.   
Non lo vedevano che il semplice pandoro Balocco costava meno di quell'altro, sempre Balocco, ma con l'integrazione dell'occhietto aperto a mezz'aria da gatta morta?
Se i consumatori sono pecore acritiche , che si sveglino dal torpore anestetico di pubblicità e social!
Se uno vuol fare beneficenza, la fa senza influencer"
Neutrale,“Pensati multata”
Neutrale,"1milione a lei 50 Mila in beneficenza 
Va bene per lei"
Neutrale,Se è stato fatto in buona fede accetta la multa e se possibile donala all’ospedale
Neutrale,"Il discorso è che questo tipo di puubblicità attira i bambini, poi noi ADULTI, anche per fare beneficenza, ci facciamo infinocchiare! In oggi cosa, se veramente stanno così le cose,ma nessuno dirà mai la verità, deve rimane' in mutande! Così anche a quelle farà pubblicità!,🤮"
Neutrale,siamo certi della sua assoluta buona fede . Anche il milione che ha guadagnato era a sua insaputa. . sicuramente.
Neutrale,È una Santanche' giovane
Felice,Che espressione angelica sono commossa🤣🤣🤣🤣
Neutrale,😂😂😂
Neutrale,Umilmente avrebbe potuto chiedere scusa senza gettarsi ulteriormente nel ridicolo affermando di non essere d' accordo col provvedimento.
Neutrale,1993 Wanna Marchi > 2023 Chiara Ferragni 😂
Felice,Vi auguro che quei ricavi li spendiate in farmaci.
Neutrale,Pensati multata
Neutrale,"La cosa migliore da fare non era far pagare il triplo al consumatore la loro voglia di fare beneficenza ! Il
Prezzo doveva  restare lo stesso è una parte, cioè gli extraprofitti che L
Immagine di ferragni avrebbe dovuto produrre , andava devoluta in beneficenza . In questo modo il la beneficenza la paga per intero il consumatore e i loro profitti crescono ….."
Neutrale,"Si si, spero che la multa sia raddoppiata"
Felice,Hai fatto una grande figura di m....
Neutrale,"Vorrei che l'impegno profuso contro la Ferragni, sia altrettanto serio contro la negligenza della nostra classe politica. Da una parte l'onestà intellettuale e i profitti personali, dall'altra il bene comune del paese. ⚖️⚖️"
Neutrale,"Niente vacanze in montagna con Fedez..
😂 😂 😂 😂"
Contro Chiara Ferragni,Grande caduta di stile
Contro Chiara Ferragni,"Avrà anche un tracollo anche da un punto di vista dell'immagine, che vergogna!"
Neutrale,I miti italiani 👏🏻
Neutrale,"Leggetevi la sentenza,li si sottolinea il guadagno della Ferragni..."
Neutrale,"Storia vecchia, ricordo tanti fa il cantautore Venditti che per la sua presenza alla trasmissione per la raccolta fondi Telethon pretendeva è prese il cachet…donate donate che noi incassiamo.
Esseri abbietti."
Neutrale,Anche Fedez si e slinguazzato Chemical in buona fede.....🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Neutrale,I deficenter!
Neutrale,Ho guadagnato un milione di euro in buon fede 🤣🤣🤣
Neutrale,😱😭 non si conosce più vergogna
Neutrale,Gentaglia
Neutrale,Pensati Wanna Marchi.
Neutrale,I Furbagnez
Neutrale,"Comunque vada, una bella figura di 💩"
Neutrale,"Ma la colpa è veramente della Ferragni, pensateci 🤔"
Neutrale,Adesso c'è lo dirà la finanza se  è un suo stile di vita o uno sbaglio!
Neutrale,Finché ci sono i polli...
Contro Chiara Ferragni,Credo che i Ferragnez non facciano nulla in buona fede ma solo ed esclusivamente per un ritorno personale.
Neutrale,Speriamo che spariscano
Neutrale,"Il problema non sono loro, ma quei personaggi che gli vanno dietro"
Neutrale,Io mi meraviglio che c'è gente che compra un panettone perché e griffato
Neutrale,"La colpa non è dei Pagliacci,
ma di chi continua ad andare 
al Circo ad applaudirli..."
Neutrale,"In buona fede, certo 🤡"
Neutrale,E la gente continua a seguire queste persone… mah ..povera Italia
Pro Chiara Ferragni,Ovviamente!
Neutrale,Sto godendo
Neutrale,Griffato chiara Ferragni? Un motivo per non comprarlo..
Neutrale,Ma che se lo mangi lei   io o la fortuna di farmelo a casa
Non Classificato,Impugna  Impugna...
Neutrale,Mai vorrà rinunciare agli euri...😅
Neutrale,Se ci dice bene il prossimo l Ferragnez in diretta da da San Vittore 😎 che spettacolo
Neutrale,Ma a chi vuole incantare la bella Chiara? È tutto chiarissimo!
Contro Chiara Ferragni,"Ma quale buona fede! Sapevi di commettere una scorrettezza, sfruttando la sensibilità nei confronti dei bambini e adesso è giusto che paghi."
Neutrale,"""Pensati multata"" . (Cit.)"
Contro Chiara Ferragni,"In un Paese normale questo sarebbe l'inizio della sua fine, perché un personaggio che specula sui bambini non ha scusanti."
Neutrale,Immaginavo adesso manda suo marito in TV a piangere Ahahh 🤣🤣😂😂 dirà che era il periodo che stava male suo marito e qualcuno ne ha approfittato della sua onestà Ahahh 🤣
Neutrale,"Se i fatti sono quelli descritti dalle varie testate,cioè somma in beneficenza decisa a priori e già stanziata  ha poco da impugnare."
Neutrale,Sicuroooo 😂
Neutrale,Pensati panettone
Contro Chiara Ferragni,Se impugnano spero che il tribunale raddoppi la multa!!!
Neutrale,Un bel silenzio no?
Neutrale,Chiariremo nelle sedi opportune... un vai e vieni dai tribunali insomma
Contro Chiara Ferragni,"Ma come si fa a farsi ancora abbindolare da questi personaggi.
Incredibile"
Contro Chiara Ferragni,Continuate a seguire questo squallido personaggio e mi raccomando il panettone Balocco 👎
Contro Chiara Ferragni,Personaggio sgradevole
Neutrale,…e tutti i follower a comprare il panettone griffato! 🤣🤣🤣
Neutrale,"Potresti restituire i soldi, ad esempio"
Neutrale,"La Lucarelli ,circa un anno fa,aveva sollevato la questione facendo notare che c era qualcosa di poco trasparente ma fu criticata in maniera feroce!"
Neutrale,"Buona frode, voleva dire.."
Neutrale,Buona fede a tutti!🤣
Contro Chiara Ferragni,Il milione è il meno ....Per una che vive d'immagine.... sarà un duro colpo.
Neutrale,Non ho parole siamo arrivati veramente alla frutta.
Neutrale,Buona fedez
Neutrale,Magnateloooooooo
Neutrale,Spero che questo faccia capire alla gente come funziona la beneficenza……in certi casi
Neutrale,"Anna Rosa Venturi quello che ha detto, lo ha detto lei, non un'altra
Era ben consapevole, fin troppo"
Felice,Fatto in buona Fedez
Contro Chiara Ferragni,Boicottare BALOCCO e la deficente che promuove
Neutrale,Finalmente molti hanno capito ...
Neutrale,"Buona fede, due parole che per la signora perdono il significato"
Neutrale,povera...
Neutrale,"Pensati ""scoperta"""
Neutrale,Si la buona fede dei soldi
Neutrale,"E'stato fatto in buona ..
Fedez"
Neutrale,"Una volta che loro hanno già dichiarato che questo fato è vero - se è vero - dovrebbero rispondere anche per il reato di truffa perché hanno fatto credere ai consumatori che acquistavano il prodotto che il sovrapprezzo sarebbe destinato all'ospedale e non per rimborsare loro per la ""donazione"" di 50.000€. Un assurdo!!!"
Neutrale,"sì, per le sue buone tasche..."
Neutrale,Chissà chi gliel'ha scritta la frase da mettere nel post...
Pro Chiara Ferragni,Brava chiara
Contro Chiara Ferragni,"Benigni, Casarini, Ferragni, Lucano, la suocera di Soumahoro, Eva Kaili, Littizzetto.

Ogni VIP che promette di fare beneficenza e poi sparisce, è sempre desssssinistra e fa ovunque la morale ai cattivi fasssssssisti."
Neutrale,La buona fede non conta nulla….sempre che ci sia stata. Chi può dirlo?
Contro Chiara Ferragni,Imbonitrice per beoti.
Contro Chiara Ferragni,"Ci facesse la beneficenza di togliersi per qualche giorno dai mar.ni... du palle, è dappertutto e fa soldi in qualsiasi maniera. Mi chiedo quali siano i suoi grandi meriti e le sue qualità per tutto questo successo."
Neutrale,"Non sono contro la Ferragni che è  libera di far pagare il suo brand, ma in questa occasione ha toppato. È evidente la poca chiarezza circa la destinazione del sovrapprezzo e la grossa probabilità di indurre in errore il consumatore.
L'incasso della multa andrebbe devoluto all'ospedale"
Neutrale,Io mi stupisco che ci sia gente che si stupisce...
